t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758496830,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1758496860,8,936,441.375,18,329.074866644572,428.0,717.75,936.0,936.0,936.0,936.0
1758496890,9,936,392.8888888888889,5,340.45867753827497,410.0,710.5,936.0,936.0,936.0,936.0
1758496920,10,936,353.9,3,343.8521807728173,327.5,703.25,936.0,936.0,936.0,936.0
1758496950,13,936,278.84615384615387,3,330.602693615223,76.0,571.0,936.0,936.0,936.0,936.0
1758496980,14,936,259.14285714285717,3,326.0761725880478,65.5,508.5,936.0,936.0,936.0,936.0
1758497010,15,936,242.13333333333333,3,321.0464734197186,55.0,446.0,936.0,936.0,936.0,936.0
1758497040,16,936,227.1875,3,315.8694284563375,36.5,437.0,936.0,936.0,936.0,936.0
1758497070,17,936,214.0,3,310.6350350491715,18.0,428.0,936.0,936.0,936.0,936.0
1758497100,18,936,202.27777777777777,3,305.43639090470026,12.5,419.0,936.0,936.0,936.0,936.0
1758497130,19,936,191.8421052631579,3,300.2960138037679,7.0,410.0,936.0,936.0,936.0,936.0
1758497160,19,936,191.8421052631579,3,300.2960138037679,7.0,410.0,936.0,936.0,936.0,936.0
1758497190,19,936,191.8421052631579,3,300.2960138037679,7.0,410.0,936.0,936.0,936.0,936.0
1758497220,19,936,191.8421052631579,3,300.2960138037679,7.0,410.0,936.0,936.0,936.0,936.0
1758497250,19,936,191.8421052631579,3,300.2960138037679,7.0,410.0,936.0,936.0,936.0,936.0
1758497280,19,936,191.8421052631579,3,300.2960138037679,7.0,410.0,936.0,936.0,936.0,936.0
1758497310,19,936,191.8421052631579,3,300.2960138037679,7.0,410.0,936.0,936.0,936.0,936.0
1758497340,19,936,191.8421052631579,3,300.2960138037679,7.0,410.0,936.0,936.0,936.0,936.0
1758497370,19,936,191.8421052631579,3,300.2960138037679,7.0,410.0,936.0,936.0,936.0,936.0
1758497400,19,936,191.8421052631579,3,300.2960138037679,7.0,410.0,936.0,936.0,936.0,936.0
1758497430,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497460,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497490,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497520,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497550,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497580,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497610,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497640,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497670,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497700,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497730,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497760,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497790,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497820,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
1758497850,21,936,181.0952380952381,2,287.93209351545113,7.0,327.5,914.8999999999996,936.0,936.0,936.0
