t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1758268020,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268050,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268080,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268110,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268140,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268170,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268200,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268231,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268261,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268291,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268321,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268351,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268381,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268411,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268441,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268471,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268501,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268531,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268561,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268591,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268621,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268651,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268681,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268711,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268741,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268771,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268801,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268831,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268861,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268891,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
1758268921,7,294,55.285714285714285,2,109.14625399849855,3.0,80.0,294.0,294.0,294.0,294.0
